Epoch 1, Train Loss: 110598480.0000, Valid Loss: 547113.1875, SSIM MAE: 1.1501, Size MAE: 0.5643, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 116, Train Loss: 298710.4062, Valid Loss: 969.5630, SSIM MAE: 0.4146, Size MAE: 0.0311, Best Vloss: 809.2217, Best SSIM MAE: 0.420591, Best Size MAE: 0.027227
Epoch 117, Train Loss: 243074.4531, Valid Loss: 960.6392, SSIM MAE: 0.4085, Size MAE: 0.0310, Best Vloss: 809.2217, Best SSIM MAE: 0.414582, Best Size MAE: 0.027227
Epoch 118, Train Loss: 271245.6562, Valid Loss: 950.5425, SSIM MAE: 0.4025, Size MAE: 0.0308, Best Vloss: 809.2217, Best SSIM MAE: 0.408515, Best Size MAE: 0.027227
Epoch 119, Train Loss: 249456.3438, Valid Loss: 942.1016, SSIM MAE: 0.3965, Size MAE: 0.0307, Best Vloss: 809.2217, Best SSIM MAE: 0.402473, Best Size MAE: 0.027227
Epoch 120, Train Loss: 233703.4219, Valid Loss: 930.8859, SSIM MAE: 0.3906, Size MAE: 0.0305, Best Vloss: 809.2217, Best SSIM MAE: 0.396478, Best Size MAE: 0.027227
Epoch 121, Train Loss: 238377.2344, Valid Loss: 918.5323, SSIM MAE: 0.3848, Size MAE: 0.0303, Best Vloss: 809.2217, Best SSIM MAE: 0.390627, Best Size MAE: 0.027227
Epoch 122, Train Loss: 349066.9688, Valid Loss: 908.5958, SSIM MAE: 0.3791, Size MAE: 0.0301, Best Vloss: 809.2217, Best SSIM MAE: 0.384774, Best Size MAE: 0.027227
Epoch 123, Train Loss: 215332.9688, Valid Loss: 897.2891, SSIM MAE: 0.3733, Size MAE: 0.0299, Best Vloss: 809.2217, Best SSIM MAE: 0.379077, Best Size MAE: 0.027227
Epoch 124, Train Loss: 206027.8750, Valid Loss: 888.2924, SSIM MAE: 0.3676, Size MAE: 0.0298, Best Vloss: 809.2217, Best SSIM MAE: 0.373265, Best Size MAE: 0.027227
Epoch 125, Train Loss: 229420.7969, Valid Loss: 878.1665, SSIM MAE: 0.3619, Size MAE: 0.0296, Best Vloss: 809.2217, Best SSIM MAE: 0.367618, Best Size MAE: 0.027227
Epoch 126, Train Loss: 188805.6562, Valid Loss: 867.5272, SSIM MAE: 0.3562, Size MAE: 0.0294, Best Vloss: 809.2217, Best SSIM MAE: 0.361945, Best Size MAE: 0.027227
Epoch 127, Train Loss: 210214.9531, Valid Loss: 855.5948, SSIM MAE: 0.3506, Size MAE: 0.0292, Best Vloss: 809.2217, Best SSIM MAE: 0.356240, Best Size MAE: 0.027227
Epoch 128, Train Loss: 218283.8125, Valid Loss: 846.6765, SSIM MAE: 0.3450, Size MAE: 0.0291, Best Vloss: 809.2217, Best SSIM MAE: 0.350584, Best Size MAE: 0.027227
Epoch 129, Train Loss: 156830.4219, Valid Loss: 837.2420, SSIM MAE: 0.3393, Size MAE: 0.0289, Best Vloss: 809.2217, Best SSIM MAE: 0.344959, Best Size MAE: 0.027227
Epoch 130, Train Loss: 252279.9531, Valid Loss: 825.7166, SSIM MAE: 0.3337, Size MAE: 0.0287, Best Vloss: 809.2217, Best SSIM MAE: 0.339317, Best Size MAE: 0.027227
Epoch 131, Train Loss: 175491.2344, Valid Loss: 813.9037, SSIM MAE: 0.3281, Size MAE: 0.0285, Best Vloss: 809.2217, Best SSIM MAE: 0.333683, Best Size MAE: 0.027227
Epoch 132, Train Loss: 168279.4375, Valid Loss: 800.7939, SSIM MAE: 0.3225, Size MAE: 0.0283, Best Vloss: 809.2217, Best SSIM MAE: 0.328059, Best Size MAE: 0.027227
